X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.4806,-152.3555,152.01,-0.0279,0.018626,0.018621,,,,,
0d - 00:00:00,000065115,3.982,-154.4492,149.71,0.027872,0,0.03724,,,,,
0d - 00:00:00,000130230,7.380,-156.7144,148.30,-0.0186,0.018626,0.009311,,,,,
0d - 00:00:00,000195345,11.465,-158.6708,146.00,0,-0.0559,0.018621,,,,,
0d - 00:00:00,000260460,15.790,-160.4899,143.55,-0.0093,0,0.009311,,,,,
0d - 00:00:00,000325575,19.428,-162.0000,140.91,0.04645,-0.0093,-0.0093,,,,,
0d - 00:00:00,000390690,23.067,-163.2356,138.02,-0.0093,-0.0186,0.009311,,,,,
0d - 00:00:00,000455805,26.671,-163.9907,135.13,0,0.027939,-0.0093,,,,,
0d - 00:00:00,000520920,30.001,-164.8831,132.55,-0.0186,0,0.03724,,,,,
0d - 00:00:00,000586035,33.91,-165.8784,128.98,-0.0093,0.018626,0.009311,,,,,
0d - 00:00:00,000651150,39.20,-167.0797,124.75,-0.0093,-0.0745,0,,,,,
0d - 00:00:00,000716265,44.07,-168.4526,121.42,-0.0186,0.009313,0.027932,,,,,
0d - 00:00:00,000781380,48.30,-169.4136,118.19,0.009291,0.009313,0.027932,,,,,
0d - 00:00:00,000846495,51.63,-169.3793,115.02,0,-0.0093,0.009311,,,,,
0d - 00:00:00,000911610,54.37,-169.3793,112.07,0,-0.0093,0.018621,,,,,
0d - 00:00:00,000976724,57.39,-169.4136,108.94,0.009291,0.009313,0.03724,,,,,
0d - 00:00:00,001041840,61.07,-169.2420,104.95,-0.0186,-0.0093,0.009311,,,,,
0d - 00:00:00,001106955,65.53,-169.1047,100.28,0,-0.0093,0,,,,,
0d - 00:00:00,001172070,70.09,-169.3450,95.94,-0.0093,0.03725,0.018621,,,,,
0d - 00:00:00,001237185,73.87,-169.4136,92.57,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,001302300,76.82,-169.1390,89.17,-0.0093,0.009313,-0.0093,,,,,
0d - 00:00:00,001367415,80.56,-168.7958,84.74,0.009291,0.009313,0.009311,,,,,
0d - 00:00:00,001432530,84.72,-168.4869,80.23,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,001497645,88.94,-168.2123,75.94,0.009291,0.009313,0.027932,,,,,
0d - 00:00:00,001562760,93.09,-167.9377,71.47,0.009291,-0.0186,0,,,,,
0d - 00:00:00,001627875,97.38,-167.6975,66.96,0,-0.0279,-0.0093,,,,,
0d - 00:00:00,001692990,101.12,-167.2513,63.01,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,001758105,104.86,-166.8738,58.82,0.03716,0.009313,-0.0093,,,,,
0d - 00:00:00,001823220,108.98,-166.4619,54.28,0,0.009313,0.018621,,,,,
0d - 00:00:00,001888335,113.07,-166.1187,49.98,0,0.018626,-0.0093,,,,,
0d - 00:00:00,001953449,116.50,-165.8784,46.51,0.009291,0,0.027932,,,,,
0d - 00:00:00,002018565,119.73,-165.5352,42.90,0.009291,-0.0279,0.018621,,,,,
0d - 00:00:00,002083680,122.89,-164.8831,39.19,0.018581,0.009313,-0.0186,,,,,
0d - 00:00:00,002148795,125.80,-164.4026,36.03,0.05574,-0.0093,0.027932,,,,,
0d - 00:00:00,002213910,128.69,-163.5789,32.42,0.07433,-0.0093,0.009311,,,,,
0d - 00:00:00,002279025,131.88,-162.8581,28.635,-0.0186,-0.0373,0,,,,,
0d - 00:00:00,002344140,134.97,-162.1030,24.923,0,0.027939,-0.0093,,,,,
0d - 00:00:00,002409255,137.89,-161.2793,21.519,-0.0372,-0.0186,0.009311,,,,,
0d - 00:00:00,002474370,140.67,-160.4212,17.876,0.018581,-0.0093,-0.0466,,,,,
0d - 00:00:00,002539485,143.45,-159.2543,13.991,-0.0186,-0.0186,-0.0093,,,,,
0d - 00:00:00,002604600,146.36,-157.8127,9.900,0.009291,0.018626,-0.0186,,,,,
0d - 00:00:00,002669715,148.56,-156.2683,6.428,0.03716,0,-0.0186,,,,,
0d - 00:00:00,002734830,150.55,-154.5865,2.8876,-0.0186,0.04656,0.009311,,,,,
0d - 00:00:00,002799945,152.61,-152.2183,-1.8219,0.009291,-0.0373,0.009311,,,,,
0d - 00:00:00,002865060,155.01,-149.8500,-5.9814,-0.0279,-0.0186,-0.0186,,,,,
0d - 00:00:00,002930175,156.77,-147.9966,-9.5566,0.027872,0.009313,0.009311,,,,,
0d - 00:00:00,002995290,158.65,-145.6628,-13.4754,-0.0093,-0.0093,0,,,,,
0d - 00:00:00,003060405,160.51,-143.2259,-17.1881,-0.0650,0,0.027932,,,,,
0d - 00:00:00,003125520,161.98,-140.6517,-20.8663,0.07433,0,-0.0093,,,,,
0d - 00:00:00,003190635,163.12,-138.0089,-24.2695,0,-0.0093,0,,,,,
0d - 00:00:00,003255750,163.60,-134.3365,-28.2915,0.03716,-0.0466,0,,,,,
0d - 00:00:00,003320865,164.21,-130.3894,-33.0011,0.07433,0.009313,0,,,,,
0d - 00:00:00,003385980,166.31,-127.6094,-37.9512,-0.0093,0,0.009311,,,,,
0d - 00:00:00,003451095,168.40,-125.0352,-42.1795,0.018581,-0.0279,-0.0186,,,,,
0d - 00:00:00,003516210,169.33,-122.0492,-45.8577,0.027872,0.018626,0.018621,,,,,
0d - 00:00:00,003581325,169.36,-118.4454,-49.2610,0.027872,0.009313,-0.0186,,,,,
0d - 00:00:00,003646440,169.12,-115.0818,-52.2517,-0.0279,-0.0093,0.009311,,,,,
0d - 00:00:00,003711555,169.23,-111.6839,-55.9643,0.03716,-0.0093,0,,,,,
0d - 00:00:00,003776670,169.57,-107.4623,-60.6738,0.027872,-0.0093,0,,,,,
0d - 00:00:00,003841785,169.74,-103.3093,-64.9365,0.03716,-0.0093,0.027932,,,,,
0d - 00:00:00,003906899,169.98,-99.6712,-68.5460,0.03716,-0.0093,0.009311,,,,,
0d - 00:00:00,003972014,169.84,-95.3123,-72.7055,0.05574,0.018626,0.018621,,,,,
0d - 00:00:00,004037130,169.50,-91.1593,-76.4181,0.06504,0.009313,-0.0279,,,,,
0d - 00:00:00,004102245,168.88,-87.6928,-79.4432,0.13007,0.018626,0,,,,,
0d - 00:00:00,004167360,168.64,-83.4026,-83.7402,-0.0557,0.018626,0,,,,,
0d - 00:00:00,004232475,168.81,-78.2886,-88.9654,-0.0743,-0.0186,0,,,,,
0d - 00:00:00,004297590,168.54,-73.9983,-92.8499,0.009291,0.009313,0.009311,,,,,
0d - 00:00:00,004362705,168.20,-70.0170,-96.4593,0.03716,0,0,,,,,
0d - 00:00:00,004427820,167.44,-64.9373,-100.8939,0.009291,0,0,,,,,
0d - 00:00:00,004492935,167.30,-60.5441,-104.8471,0.07433,0.027939,-0.0093,,,,,
0d - 00:00:00,004558050,166.75,-56.7687,-108.2160,0.13007,0,-0.0093,,,,,
0d - 00:00:00,004623165,166.41,-52.5814,-112.0661,-0.0372,0.009313,0,,,,,
0d - 00:00:00,004688280,166.00,-48.3254,-115.9850,0.009291,-0.0093,0.009311,,,,,
0d - 00:00:00,004753395,165.52,-44.5843,-119.1476,0.009291,0,-0.0093,,,,,
0d - 00:00:00,004818510,165.14,-41.1865,-122.2414,0.04645,-0.0373,-0.0093,,,,,
0d - 00:00:00,004883625,164.52,-37.7542,-125.2665,0,0.018626,0,,,,,
0d - 00:00:00,004948740,164.21,-34.3907,-128.2572,0,-0.0093,0.018621,,,,,
0d - 00:00:00,005013855,163.63,-31.0271,-131.3167,0.03716,0,0.009311,,,,,
0d - 00:00:00,005078970,163.08,-27.7322,-134.1699,-0.0186,-0.0093,0.027932,,,,,
0d - 00:00:00,005144085,162.36,-24.2314,-137.0575,0.05574,0.018626,0.03724,,,,,
0d - 00:00:00,005209200,161.50,-20.6619,-139.9107,0.07433,-0.0093,0.018621,,,,,
0d - 00:00:00,005274315,160.44,-17.0237,-142.6952,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,005339430,159.00,-12.9394,-145.3765,0.04645,0.018626,0.018621,,,,,
0d - 00:00:00,005404545,157.35,-9.0610,-147.9204,-0.0372,0.018626,0.009311,,,,,
0d - 00:00:00,005469660,155.84,-5.0453,-150.3954,0,0.018626,0.018621,,,,,
