X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.8581,-152.1153,152.18,-0.0650,0.018626,0.009311,,,,,
0d - 00:00:00,000065101,3.879,-154.3462,149.64,0.027872,0,0.009311,,,,,
0d - 00:00:00,000130202,7.483,-156.2683,147.47,-0.0093,0.009313,-0.0186,,,,,
0d - 00:00:00,000195303,12.151,-156.1653,142.42,-0.0372,0.018626,-0.0186,,,,,
0d - 00:00:00,000260404,16.579,-157.8471,140.19,0,-0.0186,0,,,,,
0d - 00:00:00,000325505,19.772,-161.7598,140.70,0.05574,-0.0279,0.018621,,,,,
0d - 00:00:00,000390606,22.998,-164.0594,138.91,0,0.06519,-0.0093,,,,,
0d - 00:00:00,000455707,26.602,-164.4369,135.41,-0.0093,-0.0093,-0.0093,,,,,
0d - 00:00:00,000520808,30.344,-165.2606,132.35,0.08362,0,0.018621,,,,,
0d - 00:00:00,000585909,34.98,-166.2903,128.19,0.009291,-0.0652,0.009311,,,,,
0d - 00:00:00,000651010,40.26,-166.8051,123.58,0.018581,-0.0186,0.08380,,,,,
0d - 00:00:00,000716111,44.42,-167.9721,120.80,-0.1579,-0.0186,0.03724,,,,,
0d - 00:00:00,000781212,48.30,-169.0704,117.94,-0.0093,-0.0745,0.018621,,,,,
0d - 00:00:00,000846313,51.52,-169.1047,114.64,0.06504,-0.0093,0,,,,,
0d - 00:00:00,000911414,54.30,-168.7615,111.83,-0.0650,-0.0093,-0.0466,,,,,
0d - 00:00:00,000976515,57.39,-168.6242,107.70,-0.1208,-0.0279,0.018621,,,,,
0d - 00:00:00,001041616,62.40,-166.6335,100.45,0.009291,-0.0559,-0.0186,,,,,
0d - 00:00:00,001106717,67.11,-166.3933,96.67,0.027872,0.009313,0.009311,,,,,
0d - 00:00:00,001171818,70.09,-168.8988,96.39,0.018581,-0.0279,-0.0372,,,,,
0d - 00:00:00,001236919,73.25,-170.7178,94.29,0.018581,0.009313,-0.0186,,,,,
0d - 00:00:00,001302020,77.27,-170.3060,89.52,-0.0093,0.009313,-0.0931,,,,,
0d - 00:00:00,001367121,81.97,-169.9628,84.43,0.04645,0,0.009311,,,,,
0d - 00:00:00,001432222,86.67,-169.5852,79.55,0.05574,-0.0838,0,,,,,
0d - 00:00:00,001497323,90.48,-168.6585,75.01,-0.0372,0,-0.0745,,,,,
0d - 00:00:00,001562424,93.64,-167.5945,71.16,0.13936,0,0.018621,,,,,
0d - 00:00:00,001627525,97.00,-167.7661,67.58,0.03716,0.07450,0.018621,,,,,
0d - 00:00:00,001692626,101.02,-167.8005,63.46,-0.0465,-0.0093,-0.0466,,,,,
0d - 00:00:00,001757727,105.24,-167.4916,59.06,0.03716,0.009313,0.009311,,,,,
0d - 00:00:00,001822828,109.02,-167.3200,55.00,-0.0186,-0.0186,-0.0372,,,,,
0d - 00:00:00,001887929,112.93,-167.0111,50.91,0,0.009313,0,,,,,
0d - 00:00:00,001953030,116.30,-166.2903,46.85,0,-0.0093,0.04655,,,,,
0d - 00:00:00,002018130,119.35,-165.4666,43.42,-0.0836,0.018626,0,,,,,
0d - 00:00:00,002083232,122.10,-164.8145,40.19,0,-0.0279,0.018621,,,,,
0d - 00:00:00,002148333,124.98,-164.1967,36.47,-0.0557,-0.0186,0,,,,,
0d - 00:00:00,002213434,128.10,-163.4072,32.66,0.04645,-0.0373,0,,,,,
0d - 00:00:00,002278535,131.26,-162.7208,29.117,0.027872,-0.0373,0,,,,,
0d - 00:00:00,002343636,134.14,-162.0000,25.816,-0.0279,0.018626,0.018621,,,,,
0d - 00:00:00,002408737,137.13,-161.1420,22.069,0.03716,-0.0093,0.009311,,,,,
0d - 00:00:00,002473838,140.12,-160.1467,18.288,0.018581,0,-0.0093,,,,,
0d - 00:00:00,002538939,142.79,-159.0827,14.679,0,-0.0093,0,,,,,
0d - 00:00:00,002604040,145.27,-157.5382,10.622,0,0.018626,0.027932,,,,,
0d - 00:00:00,002669141,147.81,-155.8221,6.497,0.04645,-0.0559,0.009311,,,,,
0d - 00:00:00,002734242,150.38,-154.2433,2.6470,0.009291,0,0.07449,,,,,
0d - 00:00:00,002799343,152.41,-151.9780,-1.7188,0.03716,0,0.009311,,,,,
0d - 00:00:00,002864444,154.64,-149.5068,-5.9814,0.04645,0.04656,0,,,,,
0d - 00:00:00,002929545,155.84,-147.0356,-9.1097,0.009291,0.009313,-0.0279,,,,,
0d - 00:00:00,002994646,156.01,-143.2259,-13.1317,0.018581,0.009313,-0.0093,,,,,
0d - 00:00:00,003059747,158.93,-140.9949,-18.3568,0.03716,0.04656,0.009311,,,,,
0d - 00:00:00,003124848,162.09,-138.7297,-22.6539,0.03716,0.009313,0,,,,,
0d - 00:00:00,003189949,161.50,-135.4005,-25.4383,-0.0186,-0.0186,0,,,,,
0d - 00:00:00,003255050,163.12,-133.7187,-29.0134,0.06504,-0.0186,0,,,,,
0d - 00:00:00,003320151,166.55,-132.1742,-33.8261,0.027872,0.018626,-0.0186,,,,,
0d - 00:00:00,003385252,166.41,-126.5110,-38.0200,0.009291,-0.0279,-0.0186,,,,,
0d - 00:00:00,003450353,164.97,-121.6373,-41.9732,-0.0929,-0.0093,-0.0093,,,,,
0d - 00:00:00,003515454,167.41,-120.3674,-46.3390,-0.0093,0.018626,0.027932,,,,,
0d - 00:00:00,003580555,169.91,-117.6903,-50.7735,0.05574,-0.0373,-0.0652,,,,,
0d - 00:00:00,003645656,169.53,-113.8805,-53.8330,0.03716,-0.0093,0.009311,,,,,
0d - 00:00:00,003710757,168.95,-110.8602,-56.2737,0,-0.0093,0,,,,,
0d - 00:00:00,003775858,167.54,-105.4716,-60.3301,-0.0093,-0.0093,0,,,,,
0d - 00:00:00,003840959,166.03,-98.7445,-65.8302,0,0.009313,0,,,,,
0d - 00:00:00,003906060,167.58,-95.8271,-70.6085,0.027872,-0.0186,-0.0093,,,,,
0d - 00:00:00,003971161,170.53,-94.7288,-74.2524,0.018581,0.04656,0.009311,,,,,
0d - 00:00:00,004036261,171.32,-92.1204,-77.1744,0.04645,0.009313,0.009311,,,,,
0d - 00:00:00,004101363,170.29,-88.3449,-79.9244,-0.0093,-0.0373,-0.0186,,,,,
0d - 00:00:00,004166464,169.29,-83.8487,-83.8433,0.018581,0,-0.0372,,,,,
0d - 00:00:00,004231565,168.81,-78.4602,-88.6903,0.05574,0.009313,-0.0466,,,,,
0d - 00:00:00,004296666,168.40,-73.4148,-93.2624,0.009291,0,-0.0186,,,,,
0d - 00:00:00,004361767,168.30,-68.9873,-97.5250,0.10220,0.03725,0,,,,,
0d - 00:00:00,004426868,168.23,-64.7314,-101.8564,0.10220,0,-0.0279,,,,,
0d - 00:00:00,004491969,168.02,-61.0246,-105.0877,0.027872,0,0,,,,,
0d - 00:00:00,004557070,167.37,-57.5924,-107.8722,0.04645,0.009313,-0.0186,,,,,
0d - 00:00:00,004622171,166.65,-53.5767,-111.3786,0.04645,0.009313,-0.0559,,,,,
0d - 00:00:00,004687272,166.17,-49.4581,-114.9881,0.06504,0,-0.0186,,,,,
0d - 00:00:00,004752373,165.69,-45.8199,-118.1850,0.10220,-0.0279,0.018621,,,,,
0d - 00:00:00,004817474,165.24,-42.1475,-121.4852,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,004882575,164.56,-38.2004,-124.7165,0,0.027939,0.027932,,,,,
0d - 00:00:00,004947676,164.08,-34.9398,-127.6385,0.04645,0.018626,0,,,,,
0d - 00:00:00,005012777,163.42,-31.6449,-130.4229,0.03716,0,0.027932,,,,,
0d - 00:00:00,005077878,162.74,-28.1098,-133.3793,-0.0836,-0.0186,-0.0186,,,,,
0d - 00:00:00,005142979,162.09,-24.7805,-136.2325,0.07433,0.018626,0.018621,,,,,
0d - 00:00:00,005208080,161.30,-21.3140,-139.0513,0.027872,0,-0.0093,,,,,
0d - 00:00:00,005273181,160.37,-17.7445,-141.8014,0.027872,0,-0.0093,,,,,
0d - 00:00:00,005338282,158.89,-13.6259,-144.6890,0.027872,0,-0.0466,,,,,
0d - 00:00:00,005403383,157.35,-9.4042,-147.4047,0.009291,-0.0186,-0.0093,,,,,
0d - 00:00:00,005468484,155.80,-5.5602,-149.8111,0.05574,-0.0745,0.009311,,,,,
0d - 00:00:00,005533585,153.81,-1.3729,-151.9424,0.04645,0.03725,-0.0559,,,,,
0d - 00:00:00,005598686,151.31,3.329,-154.4518,0.04645,0.009313,0,,,,,
0d - 00:00:00,005663787,149.49,7.311,-156.6175,0.05574,-0.0559,0.009311,,,,,
0d - 00:00:00,005728888,145.61,10.811,-155.3112,0.009291,-0.0186,-0.0559,,,,,
0d - 00:00:00,005793989,141.49,15.067,-157.3394,0.15794,0,0.009311,,,,,
0d - 00:00:00,005859090,141.56,20.250,-163.3896,0.04645,0.018626,0.027932,,,,,
0d - 00:00:00,005924191,140.39,24.437,-165.0741,0.018581,0,0.08380,,,,,
0d - 00:00:00,005989292,136.41,27.355,-163.9396,-0.0186,0.009313,0.018621,,,,,
0d - 00:00:00,006054393,133.39,30.753,-165.5553,0.03716,0.009313,0.018621,,,,,
0d - 00:00:00,006119494,130.92,35.32,-166.9991,0.027872,0,-0.0093,,,,,
0d - 00:00:00,006184595,126.39,39.71,-166.9991,0.018581,-0.0186,0.009311,,,,,
0d - 00:00:00,006249696,123.09,43.76,-168.0992,0.018581,-0.0279,0.04655,,,,,
0d - 00:00:00,006314797,119.93,48.43,-169.5429,0.06504,0.009313,0.009311,,,,,
0d - 00:00:00,006379898,115.88,52.48,-169.2679,0,0.009313,0.027932,,,,,
0d - 00:00:00,006444999,112.21,55.46,-168.8554,0.009291,0.027939,0,,,,,
0d - 00:00:00,006510100,108.33,58.45,-167.1366,0.009291,-0.0093,-0.0186,,,,,
0d - 00:00:00,006575201,102.84,61.81,-165.8991,-0.0929,0.009313,0.027932,,,,,
0d - 00:00:00,006640302,99.51,66.65,-168.4085,0.04645,0,0.009311,,,,,
0d - 00:00:00,006705403,97.76,71.84,-171.3305,0.05574,0.018626,0.03724,,,,,
0d - 00:00:00,006770504,94.22,75.75,-170.8492,0.018581,-0.0279,0.08380,,,,,
0d - 00:00:00,006835605,89.38,78.70,-169.0273,0.027872,-0.0093,0,,,,,
0d - 00:00:00,006900706,85.13,82.10,-168.5117,0.027872,0.08382,-0.0186,,,,,
0d - 00:00:00,006965807,80.84,86.11,-168.2023,0.027872,0,0.03724,,,,,
0d - 00:00:00,007030908,77.06,89.51,-167.9960,0.11149,-0.0093,0.03724,,,,,
0d - 00:00:00,007096009,74.01,92.67,-168.2366,0.027872,0,-0.0466,,,,,
0d - 00:00:00,007161110,70.85,96.38,-168.7179,0.12078,-0.0373,-0.0186,,,,,
0d - 00:00:00,007226211,66.69,100.19,-168.0304,-0.0186,0,0.03724,,,,,
0d - 00:00:00,007291312,62.64,103.21,-166.9647,-0.0557,0,-0.0093,,,,,
0d - 00:00:00,007356413,58.73,106.47,-166.5178,0.027872,-0.0931,-0.0372,,,,,
0d - 00:00:00,007421514,53.99,111.00,-166.2085,0,0.027939,-0.0279,,,,,
0d - 00:00:00,007486615,48.85,115.94,-165.9335,0.08362,-0.0093,0.018621,,,,,
0d - 00:00:00,007551716,44.66,119.75,-165.5553,0.027872,0.009313,0.009311,,,,,
0d - 00:00:00,007616817,41.23,122.84,-165.3147,0.05574,0.027939,0,,,,,
0d - 00:00:00,007681918,37.96,125.65,-164.5928,0.09291,-0.0186,-0.0093,,,,,
0d - 00:00:00,007747019,34.50,128.02,-163.3896,0.027872,0.027939,0.009311,,,,,
0d - 00:00:00,007812120,31.305,130.39,-162.4615,0.027872,0.018626,0.009311,,,,,
0d - 00:00:00,007877221,28.147,133.07,-161.6364,-0.0465,0.009313,-0.0745,,,,,
0d - 00:00:00,007942322,24.474,136.19,-160.9145,0.018581,-0.0093,-0.0186,,,,,
0d - 00:00:00,008007423,20.801,139.21,-160.0895,-0.0093,0.06519,-0.0838,,,,,
0d - 00:00:00,008072523,17.060,142.20,-159.1270,-0.0279,-0.0093,-0.0372,,,,,
0d - 00:00:00,008137625,12.872,145.08,-157.6488,-0.0186,-0.0559,-0.0186,,,,,
0d - 00:00:00,008202726,8.856,147.41,-155.7925,0.018581,0.018626,0.09311,,,,,
0d - 00:00:00,008267827,5.218,149.68,-154.3487,0.17652,0,-0.0466,,,,,
0d - 00:00:00,008267999,,,,,,,121.53,121.64,121.77,0.07579,
0d - 00:00:00,008333000,0.9268,151.81,-151.8049,0.009291,0.08382,0,,,,,
0d - 00:00:00,008398101,-3.8102,154.07,-149.1923,0.027872,-0.0466,-0.0279,,,,,
0d - 00:00:00,008463202,-7.6546,156.27,-147.7141,0.04645,0.018626,0,,,,,
0d - 00:00:00,008528303,-11.7737,156.78,-143.1765,-0.0557,0.04656,0,,,,,
0d - 00:00:00,008593404,-16.2360,157.26,-139.7045,0.027872,0.027939,0.009311,,,,,
