X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.4806,152.56,-152.0799,0,0.027939,-0.0093,,,,,
0d - 00:00:00,000065125,-3.9131,154.96,-150.3267,0.027872,0,0,,,,,
0d - 00:00:00,000130250,-6.9681,156.82,-149.0548,0,0,-0.0186,,,,,
0d - 00:00:00,000195375,-10.6410,158.81,-146.9922,0.027872,0.009313,-0.0931,,,,,
0d - 00:00:00,000260500,-14.8973,160.73,-144.1046,0,0,0.09311,,,,,
0d - 00:00:00,000325625,-19.2224,162.00,-140.8045,0,0,0,,,,,
0d - 00:00:00,000390750,-23.1355,163.17,-137.8826,0.009291,0,0,,,,,
0d - 00:00:00,000455875,-26.6024,164.03,-135.3731,0.027872,0.018626,-0.0559,,,,,
0d - 00:00:00,000521000,-29.5887,164.64,-132.8293,0.027872,0.018626,0.009311,,,,,
0d - 00:00:00,000586125,-33.2273,165.54,-129.4948,0.04645,0,0,,,,,
0d - 00:00:00,000651250,-38.7194,166.70,-124.7853,0.018581,-0.0466,-0.0093,,,,,
0d - 00:00:00,000716375,-43.8682,168.08,-121.4852,0.027872,0.03725,-0.0466,,,,,
0d - 00:00:00,000781500,-47.4381,169.04,-119.0101,0.04645,0,0,,,,,
0d - 00:00:00,000846625,-50.7677,169.14,-115.3318,0.009291,0.03725,-0.0093,,,,,
0d - 00:00:00,000911750,-54.3719,169.10,-111.8255,-0.0186,-0.0093,-0.0093,,,,,
0d - 00:00:00,000976875,-57.6672,168.35,-107.2191,-0.0372,-0.0186,-0.0186,,,,,
0d - 00:00:00,001042000,-62.1638,166.12,-100.1720,0.009291,0.12107,-0.0093,,,,,
0d - 00:00:00,001107125,-66.8321,166.29,-96.7000,0.009291,0.009313,0,,,,,
0d - 00:00:00,001172250,-70.1617,169.41,-96.9406,0.009291,-0.0466,-0.0186,,,,,
0d - 00:00:00,001237375,-73.0107,171.34,-95.1531,-0.0093,0.03725,-0.0186,,,,,
0d - 00:00:00,001302500,-77.2671,170.86,-89.8935,0,0,0,,,,,
0d - 00:00:00,001367625,-82.4160,170.41,-84.2558,-0.0279,0.009313,0.018621,,,,,
0d - 00:00:00,001432750,-86.9470,169.86,-79.5119,-0.1022,0.018626,0,,,,,
0d - 00:00:00,001497875,-90.2079,168.66,-75.2493,0,0.018626,0.018621,,,,,
0d - 00:00:00,001563000,-93.3315,167.59,-71.2273,-0.0093,0.027939,-0.0186,,,,,
0d - 00:00:00,001628125,-97.0044,167.56,-67.3772,0.05574,0,0.018621,,,,,
0d - 00:00:00,001693250,-101.2951,167.80,-63.1833,0,0.009313,-0.0186,,,,,
0d - 00:00:00,001758375,-105.2426,167.49,-59.0238,-0.0279,0.027939,0.06517,,,,,
0d - 00:00:00,001823500,-108.9497,167.25,-55.0018,0.14865,0.018626,-0.0931,,,,,
0d - 00:00:00,001888625,-113.1718,166.98,-50.4297,-0.1301,0.009313,0.03724,,,,,
0d - 00:00:00,001953750,-116.7073,166.36,-46.6827,0.018581,-0.0373,-0.0466,,,,,
0d - 00:00:00,002018874,-119.4191,165.50,-43.3483,-0.0465,-0.0093,0.009311,,,,,
0d - 00:00:00,002084000,-122.1994,164.75,-39.9107,-0.0093,-0.0186,-0.0279,,,,,
0d - 00:00:00,002149125,-125.1858,164.13,-36.2324,-0.0557,0.009313,0.03724,,,,,
0d - 00:00:00,002214250,-128.2408,163.48,-32.7604,-0.0093,0.018626,0,,,,,
0d - 00:00:00,002279375,-131.1928,162.86,-29.3572,0.018581,0.027939,0.009311,,,,,
0d - 00:00:00,002344500,-134.3507,162.21,-25.5071,-0.0093,0.027939,0.027932,,,,,
0d - 00:00:00,002409625,-137.5773,161.28,-21.6913,0.009291,0.009313,0,,,,,
0d - 00:00:00,002474750,-140.3921,160.39,-18.1506,-0.0279,0,0.018621,,,,,
0d - 00:00:00,002539875,-143.2411,159.32,-14.3005,-0.0186,0.018626,-0.0186,,,,,
0d - 00:00:00,002605000,-146.1931,157.95,-10.1753,-0.0093,0.027939,0.027932,,,,,
0d - 00:00:00,002670125,-148.5272,156.47,-6.4283,-0.0186,0.07450,0.009311,,,,,
0d - 00:00:00,002735250,-150.6211,154.62,-2.8876,-0.0186,-0.0838,0,,,,,
0d - 00:00:00,002800375,-152.7150,152.36,1.5813,-0.0465,0.027939,0.009311,,,,,
0d - 00:00:00,002865500,-155.0148,150.36,5.775,-0.0279,0.027939,0.009311,,,,,
0d - 00:00:00,002930625,-156.7311,148.72,8.732,-0.0557,0.018626,0,,,,,
0d - 00:00:00,002995750,-158.7906,146.59,12.685,-0.0372,-0.0279,-0.0279,,,,,
0d - 00:00:00,003060875,-160.8502,143.81,17.085,-0.0093,-0.0652,-0.0093,,,,,
0d - 00:00:00,003126000,-162.4291,141.24,20.763,-0.0372,0.08382,0.009311,,,,,
0d - 00:00:00,003191125,-163.2873,138.42,24.270,-0.0093,-0.0373,0.009311,,,,,
0d - 00:00:00,003256250,-163.0127,134.16,28.326,-0.0372,0.027939,-0.0093,,,,,
0d - 00:00:00,003321375,-163.9395,130.49,32.76,-0.0279,0.009313,-0.0186,,,,,
0d - 00:00:00,003386500,-165.3125,127.61,36.75,-0.0465,0.018626,0,,,,,
0d - 00:00:00,003451625,-166.8228,124.25,41.77,-0.0557,0.03725,0.018621,,,,,
0d - 00:00:00,003516750,-168.0242,120.54,46.51,-0.0743,0.027939,0.018621,,,,,
0d - 00:00:00,003581875,-169.0540,117.72,49.98,0.027872,0.027939,0,,,,,
0d - 00:00:00,003647000,-169.3973,115.18,52.63,-0.0465,-0.0093,-0.0279,,,,,
0d - 00:00:00,003712125,-169.1227,111.44,56.03,0.018581,0,0.009311,,,,,
0d - 00:00:00,003777250,-167.2004,105.33,60.23,-0.0186,0,-0.0186,,,,,
0d - 00:00:00,003842375,-166.4453,100.08,65.35,-0.0186,0.027939,-0.0093,,,,,
0d - 00:00:00,003907500,-168.8481,97.82,70.09,0.08362,0,0.027932,,,,,
0d - 00:00:00,003972624,-171.5255,95.66,74.42,-0.0279,0,-0.0745,,,,,
0d - 00:00:00,004037749,-171.6284,92.09,77.48,-0.1208,0,-0.0093,,,,,
0d - 00:00:00,004102874,-170.3927,88.72,79.58,0,0.009313,-0.0279,,,,,
0d - 00:00:00,004168000,-169.3973,84.50,83.33,-0.0743,0.018626,-0.0093,,,,,
0d - 00:00:00,004233125,-169.0540,78.63,89.00,-0.0465,-0.0186,0.018621,,,,,
0d - 00:00:00,004298250,-168.9167,73.76,93.57,0.009291,-0.0093,-0.0093,,,,,
0d - 00:00:00,004363375,-168.6421,69.71,97.39,-0.0279,-0.0186,-0.0372,,,,,
0d - 00:00:00,004428500,-168.3675,65.21,101.62,-0.0372,0,0.12104,,,,,
0d - 00:00:00,004493625,-168.0242,60.99,105.33,-0.0465,-0.0279,-0.0559,,,,,
0d - 00:00:00,004558750,-167.4064,57.25,108.32,-0.0186,0.03725,0.05586,,,,,
0d - 00:00:00,004623875,-166.4796,53.44,111.34,-0.0279,0.009313,-0.0372,,,,,
0d - 00:00:00,004689000,-165.8274,49.36,115.06,-0.1115,0,-0.0186,,,,,
0d - 00:00:00,004754125,-165.5871,45.34,118.77,-0.0372,0.04656,-0.0279,,,,,
0d - 00:00:00,004819250,-165.2782,41.77,121.97,-0.0372,-0.0745,0,,,,,
0d - 00:00:00,004884375,-164.6946,38.41,124.79,-0.0372,0.018626,-0.0093,,,,,
0d - 00:00:00,004949500,-164.0768,35.11,127.67,-0.0372,-0.0279,0.009311,,,,,
0d - 00:00:00,005014625,-163.5276,31.508,130.87,-0.0186,0.009313,0.009311,,,,,
0d - 00:00:00,005079750,-162.9783,28.075,133.79,-0.0557,-0.0093,-0.0186,,,,,
0d - 00:00:00,005144875,-162.0859,24.952,136.40,-0.0372,-0.0186,-0.0093,,,,,
0d - 00:00:00,005210000,-161.3307,21.245,139.46,-0.0743,-0.0931,0.027932,,,,,
0d - 00:00:00,005275125,-160.5412,17.401,142.87,-0.0372,0.11175,0,,,,,
0d - 00:00:00,005340250,-159.2368,13.454,145.14,-0.0743,-0.0279,0.03724,,,,,
0d - 00:00:00,005405375,-157.6922,9.507,147.65,-0.0372,-0.0093,0.018621,,,,,
0d - 00:00:00,005470500,-156.0102,5.423,150.19,-0.0372,0.009313,-0.0093,,,,,
0d - 00:00:00,005535625,-153.8134,1.0297,152.35,-0.0650,-0.0093,-0.0279,,,,,
0d - 00:00:00,005600750,-151.5822,-3.3292,154.80,-0.0650,0,-0.0186,,,,,
0d - 00:00:00,005665875,-149.9346,-6.7958,156.82,0,-0.0373,0.03724,,,,,
0d - 00:00:00,005731000,-148.2870,-10.0907,158.65,-0.0557,-0.0093,0.009311,,,,,
0d - 00:00:00,005796125,-145.8842,-14.1064,160.43,-0.0093,-0.0186,0.009311,,,,,
0d - 00:00:00,005861250,-142.6919,-18.4653,161.50,-0.0279,0.027939,0,,,,,
0d - 00:00:00,005926375,-139.6712,-22.4809,162.81,-0.0465,0.009313,0.018621,,,,,
