X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,1.7506,152.49,-153.3174,-0.2323,5.606,-7.1041,,,,,
0d - 00:00:00,000065116,-2.8490,154.59,-150.4986,-0.3716,5.578,-6.9830,,,,,
0d - 00:00:00,000130233,-6.3159,154.24,-146.9578,-0.5296,5.495,-6.6944,,,,,
0d - 00:00:00,000195351,-9.5425,155.51,-145.0672,-0.5946,5.439,-6.6944,,,,,
0d - 00:00:00,000260467,-13.5930,159.36,-144.3453,-0.9384,5.504,-6.6478,,,,,
0d - 00:00:00,000325585,-18.3986,162.00,-141.3202,-1.0684,5.485,-6.4989,,,,,
0d - 00:00:00,000390702,-23.2042,163.00,-137.5732,-1.2914,5.485,-6.3499,,,,,
0d - 00:00:00,000455819,-27.0143,164.54,-135.3387,-1.2728,5.374,-6.2289,,,,,
0d - 00:00:00,000520935,-30.2409,165.84,-133.2418,-1.5701,5.401,-6.1078,,,,,
0d - 00:00:00,000586053,-34.2570,165.74,-128.0166,-1.7281,5.206,-5.8657,,,,,
0d - 00:00:00,000651170,-40.5386,164.30,-120.0414,-2.0254,5.141,-5.4933,,,,,
0d - 00:00:00,000716287,-45.5159,165.12,-117.4288,-2.2855,5.103,-5.3723,,,,,
0d - 00:00:00,000781404,-48.1933,168.11,-117.6694,-2.3877,5.178,-5.3630,,,,,
0d - 00:00:00,000846521,-50.8707,169.59,-116.0193,-2.5271,5.076,-5.2140,,,,,
0d - 00:00:00,000911638,-53.9943,169.89,-113.0630,-2.7129,4.992,-5.2140,,,,,
0d - 00:00:00,000976754,-56.4314,169.38,-109.8660,-2.6757,4.871,-4.9533,,,,,
0d - 00:00:00,001041871,-60.3446,168.69,-104.7440,-2.9452,4.796,-4.7019,,,,,
0d - 00:00:00,001106989,-66.1113,168.38,-98.1438,-3.1774,4.703,-4.3574,,,,,
0d - 00:00:00,001172106,-71.7407,168.14,-93.3311,-3.5305,4.647,-4.1712,,,,,
0d - 00:00:00,001237223,-74.8300,168.62,-91.2342,-3.5676,4.545,-4.0781,,,,,
0d - 00:00:00,001302340,-76.9925,169.04,-89.2060,-3.6420,4.507,-3.9664,,,,,
0d - 00:00:00,001367457,-80.3564,169.04,-85.2527,-3.7999,4.405,-3.7895,,,,,
0d - 00:00:00,001432574,-85.0934,168.66,-80.0619,-3.9021,4.312,-3.5381,,,,,
0d - 00:00:00,001497691,-89.6244,168.28,-75.1805,-4.2459,4.209,-3.3053,,,,,
0d - 00:00:00,001562808,-93.4002,167.49,-70.9523,-4.3945,4.079,-3.0912,,,,,
0d - 00:00:00,001627925,-96.6955,166.26,-66.2084,-4.5339,4.042,-2.9701,,,,,
0d - 00:00:00,001693042,-100.6772,165.81,-62.0145,-4.6268,3.911,-2.7094,,,,,
0d - 00:00:00,001758159,-104.4187,166.08,-58.4738,-4.8776,3.911,-2.5046,,,,,
0d - 00:00:00,001823276,-108.2632,166.22,-54.7611,-5.0542,3.856,-2.3091,,,,,
0d - 00:00:00,001888393,-112.4509,165.84,-49.9141,-5.2307,3.716,-2.1880,,,,,
0d - 00:00:00,001953509,-116.8446,165.33,-45.5140,-5.4351,3.669,-1.8994,,,,,
0d - 00:00:00,002018626,-120.1056,164.85,-41.9732,-5.6023,3.604,-1.7411,,,,,
0d - 00:00:00,002083743,-122.9203,164.16,-38.6044,-5.7417,3.511,-1.5642,,,,,
0d - 00:00:00,002148861,-125.6663,163.54,-35.1668,-5.8717,3.371,-1.3966,,,,,
0d - 00:00:00,002213978,-128.6183,162.89,-31.7635,-5.8996,3.278,-1.2197,,,,,
0d - 00:00:00,002279095,-131.7420,162.41,-28.3259,-6.1040,3.260,-1.0521,,,,,
0d - 00:00:00,002344212,-134.8999,161.90,-24.7852,-6.2619,3.0732,-0.8752,,,,,
0d - 00:00:00,002409329,-138.0922,161.11,-21.0038,-6.3734,3.0732,-0.7542,,,,,
0d - 00:00:00,002474446,-141.0442,160.39,-17.4631,-6.5035,3.0081,-0.5493,,,,,
0d - 00:00:00,002539563,-143.4814,159.12,-14.0598,-6.5871,2.8777,-0.3724,,,,,
0d - 00:00:00,002604680,-145.6096,157.78,-10.7253,-6.6986,2.8497,-0.1862,,,,,
0d - 00:00:00,002669797,-147.8064,156.51,-7.2190,-6.7915,2.6914,-0.0372,,,,,
0d - 00:00:00,002734914,-150.0719,154.86,-3.3689,-6.9123,2.6076,0.13966,,,,,
0d - 00:00:00,002800031,-151.6852,152.22,0.7219,-7.0145,2.5145,0.30725,,,,,
0d - 00:00:00,002865148,-153.6418,149.54,4.710,-7.0238,2.2723,0.4748,,,,,
0d - 00:00:00,002930265,-152.9209,146.52,6.635,-6.9680,2.1047,0.5493,,,,,
0d - 00:00:00,002995382,-154.5342,144.19,11.378,-7.0795,1.9930,0.8100,,,,,
0d - 00:00:00,003060499,-158.1728,141.72,17.291,-7.2189,1.8439,1.0614,,,,,
0d - 00:00:00,003125616,-161.9143,139.73,22.207,-7.3768,1.7881,1.3035,,,,,
0d - 00:00:00,003190733,-164.1454,137.56,25.988,-7.4326,1.6577,1.5456,,,,,
0d - 00:00:00,003255850,-165.1752,135.26,29.048,-7.5627,1.5273,1.6387,,,,,
0d - 00:00:00,003320967,-165.6214,132.31,32.24,-7.5162,1.3783,1.8063,,,,,
0d - 00:00:00,003386084,-165.1066,127.13,36.78,-7.4883,1.1548,1.9646,,,,,
0d - 00:00:00,003451201,-163.7335,120.81,42.25,-7.4047,0.9033,2.2811,,,,,
0d - 00:00:00,003516318,-165.7587,117.62,47.44,-7.5812,0.7823,2.5046,,,,,
0d - 00:00:00,003581435,-168.7107,115.91,51.70,-7.6463,0.5960,2.7001,,,,,
0d - 00:00:00,003646552,-170.1524,113.47,55.14,-7.6741,0.5681,2.9236,,,,,
